common_name,scientific_name
Slaty-blue Flycatcher,Ficedula tricolor
Snowy-browed Flycatcher,Ficedula hyperythra
Mugimaki Flycatcher,Ficedula mugimaki
Slaty-backed Flycatcher,Ficedula erithacus
Pygmy Flycatcher,Ficedula hodgsoni
Rufous-gorgeted Flycatcher,Ficedula strophiata
Sapphire Flycatcher,Ficedula sapphira
Ultramarine Flycatcher,Ficedula superciliaris
Little Pied Flycatcher,Ficedula westermanni
Rusty-tailed Flycatcher,Ficedula ruficauda
Kashmir Flycatcher,Ficedula subrubra
Red-breasted Flycatcher,Ficedula parva
Taiga Flycatcher,Ficedula albicilla
Black-and-orange Flycatcher,Ficedula nigrorufa
White-browed Bush Robin,Tarsiger indicus
Golden Bush Robin,Tarsiger chrysaeus
Rufous-breasted Bush Robin,Tarsiger hyperythrus
Red-flanked Bluetail,Tarsiger cyanurus
Himalayan Bluetail,Tarsiger rufilatus
Gould's Shortwing,Heteroxenicus stellatus
Eversmann's Redstart,Phoenicurus erythronotus
Blue-fronted Redstart,Phoenicurus frontalis
Blue-capped Redstart,Phoenicurus coeruleocephala
White-throated Redstart,Phoenicurus schisticeps
Plumbeous Water Redstart,Phoenicurus fuliginosus
White-capped Redstart,Phoenicurus leucocephalus
Black Redstart,Phoenicurus ochruros
Common Redstart,Phoenicurus phoenicurus
Daurian Redstart,Phoenicurus auroreus
Hodgson's Redstart,Phoenicurus hodgsoni
Güldenstädt's Redstart,Phoenicurus erythrogastrus
Blue-capped Rock Thrush,Monticola cinclorhyncha
Chestnut-bellied Rock Thrush,Monticola rufiventris
Common Rock Thrush,Monticola saxatilis
Blue Rock Thrush,Monticola solitarius
Jerdon's Bush Chat,Saxicola jerdoni
Grey Bush Chat,Saxicola ferreus
Whinchat,Saxicola rubetra
White-browed Bush Chat,Saxicola macrorhynchus
Pied Bush Chat,Saxicola caprata
White-throated Bush Chat,Saxicola insignis
White-tailed Stonechat,Saxicola leucurus
Amur Stonechat,Saxicola stejnegeri
Siberian Stonechat,Saxicola maurus
Northern Wheatear,Oenanthe oenanthe
Isabelline Wheatear,Oenanthe isabellina
Desert Wheatear,Oenanthe deserti
Pied Wheatear,Oenanthe pleschanka
Brown Rock Chat,Oenanthe fusca
Variable Wheatear,Oenanthe picata
Finsch's Wheatear,Oenanthe finschii
Red-tailed Wheatear,Oenanthe chrysopygia
Hume's Wheatear,Oenanthe albonigra
White-throated Dipper,Cinclus cinclus
Brown Dipper,Cinclus pallasii
Blue-winged Leafbird,Chloropsis moluccensis
Jerdon's Leafbird,Chloropsis jerdoni
Golden-fronted Leafbird,Chloropsis aurifrons
Orange-bellied Leafbird,Chloropsis hardwickii
Thick-billed Flowerpecker,Dicaeum agile
Yellow-vented Flowerpecker,Dicaeum chrysorrheum
Yellow-bellied Flowerpecker,Dicaeum melanozanthum
Pale-billed Flowerpecker,Dicaeum erythrorhynchos
Nilgiri Flowerpecker,Dicaeum concolor
Plain Flowerpecker,Dicaeum minullum
Andaman Flowerpecker,Dicaeum virescens
Fire-breasted Flowerpecker,Dicaeum ignipectus
Scarlet-backed Flowerpecker,Dicaeum cruentatum
Ruby-cheeked Sunbird,Chalcoparia singalensis
Purple-rumped Sunbird,Leptocoma zeylonica
Crimson-backed Sunbird,Leptocoma minima
Van Hasselt's Sunbird,Leptocoma brasiliana
Purple Sunbird,Cinnyris asiaticus
Loten's Sunbird,Cinnyris lotenius
Mrs. Gould's Sunbird,Aethopyga gouldiae
Green-tailed Sunbird,Aethopyga nipalensis
Black-throated Sunbird,Aethopyga saturata
Crimson Sunbird,Aethopyga siparaja
Vigors's Sunbird,Aethopyga vigorsii
Fire-tailed Sunbird,Aethopyga ignicauda
Little Spiderhunter,Arachnothera longirostra
Streaked Spiderhunter,Arachnothera magna
Pale Rockfinch,Carpospiza brachydactyla
Rock Sparrow,Petronia petronia
White-rumped Snowfinch,Onychostruthus taczanowskii
Black-winged Snowfinch,Montifringilla adamsi
Rufous-necked Snowfinch,Pyrgilauda ruficollis
Blanford's Snowfinch,Pyrgilauda blanfordi
Yellow-throated Sparrow,Gymnoris xanthocollis
Sind Sparrow,Passer pyrrhonotus
Russet Sparrow,Passer cinnamomeus
Eurasian Tree Sparrow,Passer montanus
Spanish Sparrow,Passer hispaniolensis
House Sparrow,Passer domesticus
Black-breasted Weaver,Ploceus benghalensis
Streaked Weaver,Ploceus manyar
Baya Weaver,Ploceus philippinus
Finn's Weaver,Ploceus megarhynchus
Indian Silverbill,Euodice malabarica
Scaly-breasted Munia,Lonchura punctulata
Black-throated Munia,Lonchura kelaarti
White-rumped Munia,Lonchura striata
Tricolored Munia,Lonchura malacca
Chestnut Munia,Lonchura atricapilla
Green Avadavat,Amandava formosa
Red Avadavat,Amandava amandava
Alpine Accentor,Prunella collaris
Altai Accentor,Prunella himalayana
Robin Accentor,Prunella rubeculoides
Rufous-breasted Accentor,Prunella strophiata
Brown Accentor,Prunella fulvescens
Black-throated Accentor,Prunella atrogularis
Maroon-backed Accentor,Prunella immaculata
Forest Wagtail,Dendronanthus indicus
Western Yellow Wagtail,Motacilla flava
Eastern Yellow Wagtail,Motacilla tschutschensis
Citrine Wagtail,Motacilla citreola
Grey Wagtail,Motacilla cinerea
White Wagtail,Motacilla alba
White-browed Wagtail,Motacilla maderaspatensis
Richard's Pipit,Anthus richardi
Paddyfield Pipit,Anthus rufulus
Blyth's Pipit,Anthus godlewskii
Tawny Pipit,Anthus campestris
Long-billed Pipit,Anthus similis
Meadow Pipit,Anthus pratensis
Tree Pipit,Anthus trivialis
Olive-backed Pipit,Anthus hodgsoni
Rosy Pipit,Anthus roseatus
Red-throated Pipit,Anthus cervinus
Buff-bellied Pipit,Anthus rubescens
Water Pipit,Anthus spinoletta
Nilgiri Pipit,Anthus nilghiriensis
Upland Pipit,Anthus sylvanus
Eurasian Chaffinch,Fringilla coelebs
Brambling,Fringilla montifringilla
Black-and-yellow Grosbeak,Mycerobas icterioides
Collared Grosbeak,Mycerobas affinis
Spot-winged Grosbeak,Mycerobas melanozanthos
White-winged Grosbeak,Mycerobas carnipes
Hawfinch,Coccothraustes coccothraustes
Brown Bullfinch,Pyrrhula nipalensis
Orange Bullfinch,Pyrrhula aurantiaca
Red-headed Bullfinch,Pyrrhula erythrocephala
Grey-headed Bullfinch,Pyrrhula erythaca
Asian Crimson-winged Finch,Rhodopechys sanguineus
Trumpeter Finch,Bucanetes githagineus
Mongolian Finch,Bucanetes mongolicus
Blanford's Rosefinch,Agraphospiza rubescens
Spectacled Finch,Callacanthis burtoni
Golden-naped Finch,Pyrrhoplectes epauletta
Dark-breasted Rosefinch,Procarduelis nipalensis
Plain Mountain Finch,Leucosticte nemoricola
Brandt's Mountain Finch,Leucosticte brandti
Common Rosefinch,Carpodacus erythrinus
Scarlet Finch,Carpodacus sipahi
Streaked Rosefinch,Carpodacus rubicilloides
Great Rosefinch,Carpodacus rubicilla
Blyth's Rosefinch,Carpodacus grandis
Himalayan Beautiful Rosefinch,Carpodacus pulcherrimus
Pink-rumped Rosefinch,Carpodacus waltoni
Pink-browed Rosefinch,Carpodacus rodochroa
Dark-rumped Rosefinch,Carpodacus edwardsii
Spot-winged Rosefinch,Carpodacus rodopeplus
Vinaceous Rosefinch,Carpodacus vinaceus
Pale Rosefinch,Carpodacus stoliczkae
Sillem's Rosefinch,Carpodacus sillemi
Pallas's Rosefinch,Carpodacus roseus
Himalayan White-browed Rosefinch,Carpodacus thura
Chinese White-browed Rosefinch,Carpodacus dubius
Red-fronted Rosefinch,Carpodacus puniceus
Crimson-browed Finch,Carpodacus subhimachalus
Yellow-breasted Greenfinch,Chloris spinoides
Black-headed Greenfinch,Chloris ambigua
Desert Finch,Rhodospiza obsoleta
Twite,Linaria flavirostris
Common Linnet,Linaria cannabina
Red Crossbill,Loxia curvirostra
European Goldfinch,Carduelis carduelis
Red-fronted Serin,Serinus pusillus
Tibetan Serin,Spinus thibetanus
Eurasian Siskin,Spinus spinus
Lapland Longspur,Calcarius lapponicus
Crested Bunting,Emberiza lathami
Yellowhammer,Emberiza citrinella
Pine Bunting,Emberiza leucocephalos
Rock Bunting,Emberiza cia
Godlewski's Bunting,Emberiza godlewskii
Meadow Bunting,Emberiza cioides
White-capped Bunting,Emberiza stewarti
Grey-necked Bunting,Emberiza buchanani
Ortolan Bunting,Emberiza hortulana
Striolated Bunting,Emberiza striolata
Tristram's Bunting,Emberiza tristrami
Chestnut-eared Bunting,Emberiza fucata
Little Bunting,Emberiza pusilla
Yellow-browed Bunting,Emberiza chrysophrys
Rustic Bunting,Emberiza rustica
Yellow-breasted Bunting,Emberiza aureola
Chestnut Bunting,Emberiza rutila
Black-headed Bunting,Emberiza melanocephala
Red-headed Bunting,Emberiza bruniceps
Black-faced Bunting,Emberiza spodocephala
Common Reed Bunting,Emberiza schoeniclus
Fulvous Whistling Duck,Dendrocygna bicolor
Lesser Whistling Duck,Dendrocygna javanica
Red-breasted Goose,Branta ruficollis
Barnacle Goose,Branta leucopsis
Bar-headed Goose,Anser indicus
Greylag Goose,Anser anser
Taiga Bean Goose,Anser fabalis
Tundra Bean Goose,Anser serrirostris
Greater White-fronted Goose,Anser albifrons
Lesser White-fronted Goose,Anser erythropus
Mute Swan,Cygnus olor
Tundra Swan,Cygnus columbianus
Whooper Swan,Cygnus cygnus
Knob-billed Duck,Sarkidiornis melanotos
Common Shelduck,Tadorna tadorna
Ruddy Shelduck,Tadorna ferruginea
White-winged Duck,Asarcornis scutulata
Mandarin Duck,Aix galericulata
Cotton Pygmy Goose,Nettapus coromandelianus
Baikal Teal,Sibirionetta formosa
Garganey,Spatula querquedula
Northern Shoveler,Spatula clypeata
Gadwall,Mareca strepera
Falcated Duck,Mareca falcata
Eurasian Wigeon,Mareca penelope
Indian Spot-billed Duck,Anas poecilorhyncha
Eastern Spot-billed Duck,Anas zonorhyncha
Mallard,Anas platyrhynchos
Northern Pintail,Anas acuta
Eurasian Teal,Anas crecca
Andaman Teal,Anas albogularis
Marbled Duck,Marmaronetta angustirostris
Pink-headed Duck,Rhodonessa caryophyllacea
Red-crested Pochard,Netta rufina
Common Pochard,Aythya ferina
Baer's Pochard,Aythya baeri
Ferruginous Duck,Aythya nyroca
Tufted Duck,Aythya fuligula
Greater Scaup,Aythya marila
Long-tailed Duck,Clangula hyemalis
Common Goldeneye,Bucephala clangula
Smew,Mergellus albellus
Common Merganser,Mergus merganser
Red-breasted Merganser,Mergus serrator
White-headed Duck,Oxyura leucocephala
Nicobar Megapode,Megapodius nicobariensis
Hill Partridge,Arborophila torqueola
Chestnut-breasted Partridge,Arborophila mandellii
Rufous-throated Partridge,Arborophila rufogularis
White-cheeked Partridge,Arborophila atrogularis
Snow Partridge,Lerwa lerwa
Blood Pheasant,Ithaginis cruentus
Western Tragopan,Tragopan melanocephalus
Satyr Tragopan,Tragopan satyra
Blyth's Tragopan,Tragopan blythii
Temminck's Tragopan,Tragopan temminckii
Himalayan Monal,Lophophorus impejanus
Sclater's Monal,Lophophorus sclateri
Koklass Pheasant,Pucrasia macrolopha
Tibetan Partridge,Perdix hodgsoniae
Mrs. Hume's Pheasant,Syrmaticus humiae
Cheer Pheasant,Catreus wallichii
Kalij Pheasant,Lophura leucomelanos
Indian Peafowl,Pavo cristatus
Green Peafowl,Pavo muticus
Red Spurfowl,Galloperdix spadicea
Painted Spurfowl,Galloperdix lunulata
Grey Peacock-Pheasant,Polyplectron bicalcaratum
Mountain Bamboo Partridge,Bambusicola fytchii
Red Junglefowl,Gallus gallus
Grey Junglefowl,Gallus sonneratii
Grey Francolin,Ortygornis pondicerianus
Swamp Francolin,Ortygornis gularis
Chinese Francolin,Francolinus pintadeanus
Black Francolin,Francolinus francolinus
Painted Francolin,Francolinus pictus
Tibetan Snowcock,Tetraogallus tibetanus
Himalayan Snowcock,Tetraogallus himalayensis
King Quail,Synoicus chinensis
Common Quail,Coturnix coturnix
Japanese Quail,Coturnix japonica
Rain Quail,Coturnix coromandelica
Chukar Partridge,Alectoris chukar
Jungle Bush Quail,Perdicula asiatica
Rock Bush Quail,Perdicula argoondah
Painted Bush Quail,Perdicula erythrorhyncha
Manipur Bush Quail,Perdicula manipurensis
Himalayan Quail,Ophrysia superciliosa
Great Eared Nightjar,Lyncornis macrotis
Jungle Nightjar,Caprimulgus indicus
Grey Nightjar,Caprimulgus jotaka
European Nightjar,Caprimulgus europaeus
Sykes's Nightjar,Caprimulgus mahrattensis
Jerdon's Nightjar,Caprimulgus atripennis
Large-tailed Nightjar,Caprimulgus macrurus
Andaman Nightjar,Caprimulgus andamanicus
Indian Nightjar,Caprimulgus asiaticus
Savanna Nightjar,Caprimulgus affinis
Sri Lanka Frogmouth,Batrachostomus moniliger
Hodgson's Frogmouth,Batrachostomus hodgsoni
Crested Treeswift,Hemiprocne coronata
Plume-toed Swiftlet,Collocalia affinis
Indian Swiftlet,Aerodramus unicolor
Himalayan Swiftlet,Aerodramus brevirostris
Edible-nest Swiftlet,Aerodramus fuciphagus
White-rumped Spinetail,Zoonavena sylvatica
White-throated Needletail,Hirundapus caudacutus
Silver-backed Needletail,Hirundapus cochinchinensis
Brown-backed Needletail,Hirundapus giganteus
Asian Palm Swift,Cypsiurus balasiensis
Alpine Swift,Tachymarptis melba
Common Swift,Apus apus
Pallid Swift,Apus pallidus
Pacific Swift,Apus pacificus
Blyth's Swift,Apus leuconyx
Dark-rumped Swift,Apus acuticauda
Little Swift,Apus affinis
House Swift,Apus nipalensis
Great Indian Bustard,Ardeotis nigriceps
Macqueen's Bustard,Chlamydotis macqueenii
Bengal Florican,Houbaropsis bengalensis
Lesser Florican,Sypheotides indicus
Little Bustard,Tetrax tetrax
Greater Coucal,Centropus sinensis
Lesser Coucal,Centropus bengalensis
Andaman Coucal,Centropus andamanensis
Sirkeer Malkoha,Taccocua leschenaultii
Blue-faced Malkoha,Phaenicophaeus viridirostris
Green-billed Malkoha,Phaenicophaeus tristis
Chestnut-winged Cuckoo,Clamator coromandus
Jacobin Cuckoo,Clamator jacobinus
Asian Koel,Eudynamys scolopaceus
Asian Emerald Cuckoo,Chrysococcyx maculatus
Violet Cuckoo,Chrysococcyx xanthorhynchus
Horsfield's Bronze Cuckoo,Chrysococcyx basalis
Banded Bay Cuckoo,Cacomantis sonneratii
Plaintive Cuckoo,Cacomantis merulinus
Grey-bellied Cuckoo,Cacomantis passerinus
Square-tailed Drongo-Cuckoo,Surniculus lugubris
Fork-tailed Drongo-Cuckoo,Surniculus dicruroides
Large Hawk-Cuckoo,Hierococcyx sparverioides
Common Hawk-Cuckoo,Hierococcyx varius
Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor
Lesser Cuckoo,Cuculus poliocephalus
Indian Cuckoo,Cuculus micropterus
Himalayan Cuckoo,Cuculus saturatus
Common Cuckoo,Cuculus canorus
Tibetan Sandgrouse,Syrrhaptes tibetanus
Pallas's Sandgrouse,Syrrhaptes paradoxus
Pin-tailed Sandgrouse,Pterocles alchata
Chestnut-bellied Sandgrouse,Pterocles exustus
Spotted Sandgrouse,Pterocles senegallus
Black-bellied Sandgrouse,Pterocles orientalis
Painted Sandgrouse,Pterocles indicus
Rock Dove,Columba livia
Hill Pigeon,Columba rupestris
Snow Pigeon,Columba leuconota
Yellow-eyed Pigeon,Columba eversmanni
Common Wood Pigeon,Columba palumbus
Speckled Wood Pigeon,Columba hodgsonii
Ashy Wood Pigeon,Columba pulchricollis
Nilgiri Wood Pigeon,Columba elphinstonii
Pale-capped Pigeon,Columba punicea
Andaman Wood Pigeon,Columba palumboides
European Turtle Dove,Streptopelia turtur
Oriental Turtle Dove,Streptopelia orientalis
Eurasian Collared Dove,Streptopelia decaocto
Red Collared Dove,Streptopelia tranquebarica
Spotted Dove,Spilopelia chinensis
Laughing Dove,Spilopelia senegalensis
Barred Cuckoo-Dove,Macropygia unchall
Andaman Cuckoo-Dove,Macropygia rufipennis
Namaqua Dove,Oena capensis
Common Emerald Dove,Chalcophaps indica
Nicobar Pigeon,Caloenas nicobarica
Orange-breasted Green Pigeon,Treron bicinctus
Grey-fronted Green Pigeon,Treron affinis
Ashy-headed Green Pigeon,Treron phayrei
Andaman Green Pigeon,Treron chloropterus
Thick-billed Green Pigeon,Treron curvirostra
Yellow-footed Green Pigeon,Treron phoenicopterus
Pin-tailed Green Pigeon,Treron apicauda
Wedge-tailed Green Pigeon,Treron sphenurus
Green Imperial Pigeon,Ducula aenea
Nicobar Imperial Pigeon,Ducula nicobarica
Malabar Imperial Pigeon,Ducula cuprea
Mountain Imperial Pigeon,Ducula badia
Pied Imperial Pigeon,Ducula bicolor
Masked Finfoot,Heliopais personatus
Water Rail,Rallus aquaticus
Brown-cheeked Rail,Rallus indicus
Corn Crake,Crex crex
Slaty-breasted Rail,Lewinia striata
Spotted Crake,Porzana porzana
Common Moorhen,Gallinula chloropus
Eurasian Coot,Fulica atra
Grey-headed Swamphen,Porphyrio poliocephalus
Ruddy-breasted Crake,Zapornia fusca
Black-tailed Crake,Zapornia bicolor
Brown Crake,Zapornia akool
Baillon's Crake,Zapornia pusilla
Little Crake,Zapornia parva
Slaty-legged Crake,Rallina eurizonoides
Andaman Crake,Rallina canningi
Red-legged Crake,Rallina fasciata
White-browed Crake,Poliolimnas cinereus
Watercock,Gallicrex cinerea
White-breasted Waterhen,Amaurornis phoenicurus
Siberian Crane,Leucogeranus leucogeranus
Sarus Crane,Antigone antigone
Demoiselle Crane,Grus virgo
Common Crane,Grus grus
Black-necked Crane,Grus nigricollis
Little Grebe,Tachybaptus ruficollis
Red-necked Grebe,Podiceps grisegena
Great Crested Grebe,Podiceps cristatus
Horned Grebe,Podiceps auritus
Black-necked Grebe,Podiceps nigricollis
Greater Flamingo,Phoenicopterus roseus
Lesser Flamingo,Phoeniconaias minor
Common Buttonquail,Turnix sylvaticus
Yellow-legged Buttonquail,Turnix tanki
Barred Buttonquail,Turnix suscitator
Indian Stone-curlew,Burhinus indicus
Great Stone-curlew,Esacus recurvirostris
Beach Stone-curlew,Esacus magnirostris
Eurasian Oystercatcher,Haematopus ostralegus
Ibisbill,Ibidorhyncha struthersii
Black-winged Stilt,Himantopus himantopus
Pied Avocet,Recurvirostra avosetta
Northern Lapwing,Vanellus vanellus
River Lapwing,Vanellus duvaucelii
Yellow-wattled Lapwing,Vanellus malabaricus
Grey-headed Lapwing,Vanellus cinereus
Red-wattled Lapwing,Vanellus indicus
Sociable Lapwing,Vanellus gregarius
White-tailed Lapwing,Vanellus leucurus
European Golden Plover,Pluvialis apricaria
Pacific Golden Plover,Pluvialis fulva
American Golden Plover,Pluvialis dominica
Grey Plover,Pluvialis squatarola
Common Ringed Plover,Charadrius hiaticula
Long-billed Plover,Charadrius placidus
Little Ringed Plover,Charadrius dubius
Kentish Plover,Charadrius alexandrinus
White-faced Plover,Charadrius dealbatus
Greater Sand Plover,Charadrius leschenaultii
Siberian Sand Plover,Charadrius mongolus
Tibetan Sand Plover,Charadrius atrifrons
Caspian Plover,Charadrius asiaticus
Oriental Plover,Charadrius veredus
Greater Painted-snipe,Rostratula benghalensis
Pheasant-tailed Jacana,Hydrophasianus chirurgus
Bronze-winged Jacana,Metopidius indicus
Eurasian Whimbrel,Numenius phaeopus
Eurasian Curlew,Numenius arquata
Bar-tailed Godwit,Limosa lapponica
Black-tailed Godwit,Limosa limosa
Ruddy Turnstone,Arenaria interpres
Great Knot,Calidris tenuirostris
Red Knot,Calidris canutus
Ruff,Calidris pugnax
Broad-billed Sandpiper,Calidris falcinellus
Sharp-tailed Sandpiper,Calidris acuminata
Stilt Sandpiper,Calidris himantopus
Curlew Sandpiper,Calidris ferruginea
Temminck's Stint,Calidris temminckii
Long-toed Stint,Calidris subminuta
Spoon-billed Sandpiper,Calidris pygmaea
Red-necked Stint,Calidris ruficollis
Sanderling,Calidris alba
Dunlin,Calidris alpina
Little Stint,Calidris minuta
Buff-breasted Sandpiper,Calidris subruficollis
Pectoral Sandpiper,Calidris melanotos
Asian Dowitcher,Limnodromus semipalmatus
Long-billed Dowitcher,Limnodromus scolopaceus
Eurasian Woodcock,Scolopax rusticola
Jack Snipe,Lymnocryptes minimus
Solitary Snipe,Gallinago solitaria
Wood Snipe,Gallinago nemoricola
Pin-tailed Snipe,Gallinago stenura
Swinhoe's Snipe,Gallinago megala
Great Snipe,Gallinago media
Common Snipe,Gallinago gallinago
Terek Sandpiper,Xenus cinereus
Red-necked Phalarope,Phalaropus lobatus
Red Phalarope,Phalaropus fulicarius
Common Sandpiper,Actitis hypoleucos
Green Sandpiper,Tringa ochropus
Grey-tailed Tattler,Tringa brevipes
Common Redshank,Tringa totanus
Marsh Sandpiper,Tringa stagnatilis
Wood Sandpiper,Tringa glareola
Spotted Redshank,Tringa erythropus
Common Greenshank,Tringa nebularia
Nordmann's Greenshank,Tringa guttifer
Crab-plover,Dromas ardeola
Cream-colored Courser,Cursorius cursor
Indian Courser,Cursorius coromandelicus
Jerdon's Courser,Rhinoptilus bitorquatus
Collared Pratincole,Glareola pratincola
Oriental Pratincole,Glareola maldivarum
Small Pratincole,Glareola lactea
Brown Noddy,Anous stolidus
Lesser Noddy,Anous tenuirostris
Black Noddy,Anous minutus
White Tern,Gygis alba
Indian Skimmer,Rynchops albicollis
Black-legged Kittiwake,Rissa tridactyla
Sabine's Gull,Xema sabini
Slender-billed Gull,Chroicocephalus genei
Brown-headed Gull,Chroicocephalus brunnicephalus
