SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Struthio camelus,Common Ostrich,ostric2,species,2.0,COOS,STCA,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Struthio molybdophanes,Somali Ostrich,ostric3,species,7.0,SOOS,STMO,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,slash,8.0,SOOS COOS,STCA STMO,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Casuarius casuarius,Southern Cassowary,soucas1,species,10.0,SOCA,CACA,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Casuarius bennetti,Dwarf Cassowary,dwacas1,species,11.0,DWCA,CABE,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Casuarius unappendiculatus,Northern Cassowary,norcas1,species,14.0,NOCA,CAUN,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Dromaius novaehollandiae,Emu,emu1,species,15.0,EMU COEM,DRNO,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Apteryx australis,Southern Brown Kiwi,sobkiw1,species,21.0,SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx australis australis,Southern Brown Kiwi (South I.),sobkiw2,issf,22.0,SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,sobkiw1,,,aptery1
Apteryx australis lawryi,Southern Brown Kiwi (Stewart I.),sobkiw3,issf,23.0,SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,sobkiw1,,,aptery1
Apteryx rowi,Okarito Brown Kiwi,okbkiw1,species,24.0,OBKI OKKI,APRO,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,species,25.0,NIBK,APMA,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx australis x mantelli,Southern Brown x North Island Brown Kiwi (hybrid),x01217,hybrid,26.0,NIBK SBKI,APAU APMA,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx owenii,Little Spotted Kiwi,liskiw1,species,27.0,LSKI,APOW,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx rowi x owenii,Okarito Brown x Little Spotted Kiwi (hybrid),x01059,hybrid,28.0,OBKI LSKI OKKI,APOW APRO,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx maxima,Great Spotted Kiwi,grskiw1,species,29.0,GSKI,APMA,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx sp.,kiwi sp.,kiwi1,spuh,30.0,,,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Rhea americana,Greater Rhea,grerhe1,species,32.0,GRRH,RHAM,,Rheiformes,Rheas,Rheidae,,,,rheida1
Rhea pennata,Lesser Rhea,lesrhe2,species,38.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,,,,rheida1
Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,issf,39.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2,,,rheida1
Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,issf,42.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2,,,rheida1
Tinamotis pentlandii,Puna Tinamou,puntin1,species,44.0,PUTI,TIPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamotis ingoufi,Patagonian Tinamou,pattin1,species,45.0,PATI,TIIN,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,species,46.0,QCTI QUCT,EUFO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Eudromia elegans,Elegant Crested-Tinamou,elctin1,species,49.0,ELCT ECTI,EUEL,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Eudromia elegans [intermedia Group],Elegant Crested-Tinamou (Northern),elecrt11,issf,50.0,ELCT ECTI,EUEL,,Tinamiformes,Tinamous,Tinamidae,elctin1,,,tinami1
Eudromia elegans [elegans Group],Elegant Crested-Tinamou (Southern),elecrt12,issf,54.0,ELCT ECTI,EUEL,,Tinamiformes,Tinamous,Tinamidae,elctin1,,,tinami1
Taoniscus nanus,Dwarf Tinamou,dwatin1,species,62.0,DWTI,TANA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura boraquira,White-bellied Nothura,whbnot1,species,63.0,WBNO,NOBO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura minor,Lesser Nothura,lesnot1,species,64.0,LENO,NOMI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura darwinii,Darwin's Nothura,darnot1,species,65.0,DANO,NODA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura maculosa,Spotted Nothura,sponot1,species,71.0,SPNO,NOMA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura boraquira/maculosa,White-bellied/Spotted Nothura,y01225,slash,81.0,SPNO WBNO,NOMA NOBO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura minor/maculosa,Lesser/Spotted Nothura,y01226,slash,82.0,SPNO LENO,NOMA NOMI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura darwinii/maculosa,Darwin's/Spotted Nothura,y01375,slash,83.0,SPNO DANO,NOMA NODA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Rhynchotus maculicollis,Huayco Tinamou,huatin1,species,84.0,HUTI,RHMA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,species,85.0,RWTI,RHRU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta cinerascens,Brushland Tinamou,brutin1,species,89.0,BRTI,NOCI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta pentlandii,Andean Tinamou,andtin1,species,92.0,ANTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta pentlandii [oustaleti Group],Andean Tinamou (Northern),andtin10,issf,93.0,ANTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,andtin1,,,tinami1
Nothoprocta pentlandii [pentlandii Group],Andean Tinamou (Southern),andtin11,issf,97.0,ANTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,andtin1,,,tinami1
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,species,103.0,CBTI,NOCU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta ornata,Ornate Tinamou,orntin1,species,106.0,ORTI,NOOR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,species,110.0,TATI,NOTA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta perdicaria,Chilean Tinamou,chitin1,species,111.0,CHTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta sp.,Nothoprocta sp.,nothop1,spuh,114.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,species,115.0,TBTI,NOJU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,species,116.0,HOTI,NONI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus bonapartei,Highland Tinamou,higtin1,species,119.0,,NOBO,HITI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3,issf,120.0,HITI,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1,,,tinami1
Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2,issf,121.0,HITI,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1,,,tinami1
Tinamus major,Great Tinamou,gretin1,species,126.0,,TIMA,GRTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus solitarius,Solitary Tinamou,soltin1,species,139.0,SOTI,TISO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus tao,Gray Tinamou,grytin1,species,140.0,GRTI,TITA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus guttatus,White-throated Tinamou,whttin1,species,145.0,WTTI,TIGU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus osgoodi,Black Tinamou,blatin1,species,146.0,BLTI,TIOS,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus osgoodi hershkovitzi,Black Tinamou (Colombian),blktin1,issf,147.0,BLTI,TIOS,,Tinamiformes,Tinamous,Tinamidae,blatin1,,,tinami1
Tinamus osgoodi osgoodi,Black Tinamou (Peruvian),blktin2,issf,148.0,BLTI,TIOS,,Tinamiformes,Tinamous,Tinamidae,blatin1,,,tinami1
Tinamus sp.,Tinamus sp.,tinamu1,spuh,149.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,species,150.0,BETI,CRBE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinereus,Cinereous Tinamou,cintin1,species,151.0,CITI,CRCI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus ptaritepui,Tepui Tinamou,teptin1,species,152.0,TETI,CRPT,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,species,153.0,SBTI,CRPA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus tataupa,Tataupa Tinamou,tattin1,species,154.0,TATI,CRTA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus obsoletus,Brown Tinamou,brotin1,species,159.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus obsoletus cerviniventris/knoxi,Brown Tinamou (Venezuelan),brntin11,issf,160.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,,tinami1
Crypturellus obsoletus castaneus,Brown Tinamou (Ecuadorian),brntin1,issf,163.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,,tinami1
Crypturellus obsoletus [punensis Group],Brown Tinamou (Andean),brntin2,issf,164.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,,tinami1
Crypturellus obsoletus griseiventris,Brown Tinamou (Amazonian),brntin8,issf,168.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,,tinami1
Crypturellus obsoletus obsoletus,Brown Tinamou (Atlantic),brntin10,issf,169.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,,tinami1
Crypturellus variegatus,Variegated Tinamou,vartin1,species,170.0,VATI,CRVA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus bartletti,Bartlett's Tinamou,bartin2,species,171.0,BATI,CRBA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus casiquiare,Barred Tinamou,bartin1,species,172.0,BATI,CRCA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus brevirostris,Rusty Tinamou,rustin1,species,173.0,RUTI,CRBR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus soui,Little Tinamou,littin1,species,174.0,,CRSO,LITI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus undulatus,Undulated Tinamou,undtin1,species,189.0,UNTI,CRUN,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,species,196.0,YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus noctivagus zabele,Yellow-legged Tinamou (zabele),yeltin2,issf,197.0,YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,yeltin1,,,tinami1
Crypturellus noctivagus noctivagus,Yellow-legged Tinamou (noctivagus),yeltin3,issf,198.0,YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,yeltin1,,,tinami1
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,species,199.0,BCTI,CRAT,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,species,202.0,PBTI,CRTR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,species,203.0,ETTI,CRCI,THTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinnamomeus occidentalis,Thicket Tinamou (occidentalis),thitin2,issf,204.0,ETTI THTI,CRCI,,Tinamiformes,Tinamous,Tinamidae,thitin1,,,tinami1
Crypturellus cinnamomeus [cinnamomeus Group],Thicket Tinamou (cinnamomeus Group),thitin3,issf,205.0,ETTI THTI,CRCI,,Tinamiformes,Tinamous,Tinamidae,thitin1,,,tinami1
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,species,214.0,,CRBO,SBTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus kerriae,Choco Tinamou,chotin1,species,217.0,,CRKE,CHTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus erythropus,Red-legged Tinamou,reltin1,species,218.0,RLTI,CRER,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus duidae,Gray-legged Tinamou,gyltin1,species,226.0,GLTI,CRDU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus strigulosus,Brazilian Tinamou,bratin1,species,227.0,BRTI,CRST,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus [undescribed form],Serra do Divisor Tinamou (undescribed form),sddtin1,form,228.0,SDDT,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus sp.,Crypturellus sp.,cryptu1,spuh,229.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamidae sp.,tinamou sp.,tinamo1,spuh,230.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Anhima cornuta,Horned Screamer,horscr1,species,232.0,HOSC,ANCO,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Chauna torquata,Southern Screamer,souscr1,species,233.0,SOSC,CHTO,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Chauna chavaria,Northern Screamer,norscr1,species,234.0,NOSC,CHCH,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Anseranas semipalmata,Magpie Goose,maggoo1,species,236.0,MAGO,ANSE,,Anseriformes,Magpie Goose,Anseranatidae,,,,ansera1
Dendrocygna guttata,Spotted Whistling-Duck,spwduc1,species,238.0,SPWD SWDU,DEGU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1,species,239.0,PLWD PWDU,DEEY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1,species,240.0,,DEVI,WFWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna guttata x viduata,Spotted x White-faced Whistling-Duck (hybrid),x00721,hybrid,241.0,SPWD WFWD SWDU,DEGU DEVI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna eytoni x viduata,Plumed x White-faced Whistling-Duck (hybrid),x01218,hybrid,242.0,PLWD WFWD PWDU,DEEY DEVI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,species,243.0,,DEAU,BBWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna autumnalis fulgens,Black-bellied Whistling-Duck (Northern),bkbwhd1,issf,244.0,BBWD,DEAU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,bbwduc,,,anatid1
Dendrocygna autumnalis autumnalis,Black-bellied Whistling-Duck (Southern),bkbwhd2,issf,245.0,BBWD,DEAU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,bbwduc,,,anatid1
Dendrocygna viduata x autumnalis,White-faced x Black-bellied Whistling-Duck (hybrid),x01141,hybrid,246.0,WFWD BBWD,DEAU DEVI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1,species,247.0,,DEAR,WIWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna autumnalis x arborea,Black-bellied x West Indian Whistling-Duck (hybrid),x00775,hybrid,248.0,BBWD WIWD,DEAR DEAU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,species,249.0,FWDU,DEBI,FUWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna viduata x bicolor,White-faced x Fulvous Whistling-Duck (hybrid),x00938,hybrid,250.0,WFWD FUWD FWDU,DEVI DEBI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna autumnalis x bicolor,Black-bellied x Fulvous Whistling-Duck (hybrid),x00875,hybrid,251.0,FUWD BBWD FWDU,DEAU DEBI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1,species,252.0,WWDU WAWD,DEAR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna eytoni x arcuata,Plumed x Wandering Whistling-Duck (hybrid),x00990,hybrid,256.0,WWDU PLWD PWDU WAWD,DEAR DEEY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna eytoni/arcuata,Plumed/Wandering Whistling-Duck,y01227,slash,257.0,WWDU PLWD PWDU WAWD,DEAR DEEY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna javanica,Lesser Whistling-Duck,lewduc1,species,258.0,LEWD LWDU,DEJA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna bicolor/javanica,Fulvous/Lesser Whistling-Duck,y01080,slash,259.0,FWDU FUWD LEWD LWDU,DEBI DEJA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna arcuata x javanica,Wandering x Lesser Whistling-Duck (hybrid),x00360,hybrid,260.0,WWDU LEWD WAWD LWDU,DEAR DEJA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna sp.,whistling-duck sp.,whistl1,spuh,261.0,,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Thalassornis leuconotus,White-backed Duck,whbduc1,species,262.0,WBDU,THLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser indicus,Bar-headed Goose,bahgoo,species,265.0,BHGO,ANIN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser canagicus,Emperor Goose,empgoo,species,266.0,,ANCA,EMGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens,Snow Goose,snogoo,species,267.0,,ANCA,SNGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser indicus x caerulescens,Bar-headed x Snow Goose (hybrid),x00991,hybrid,270.0,SNGO BHGO,ANIN ANCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser canagicus x caerulescens,Emperor x Snow Goose (hybrid),x01176,hybrid,271.0,EMGO SNGO,ANCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser rossii,Ross's Goose,rosgoo,species,272.0,,ANRO,ROGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens x rossii,Snow x Ross's Goose (hybrid),sxrgoo1,hybrid,273.0,SNGO ROGO,ANRO ANCA,SRGH,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens/rossii,Snow/Ross's Goose,y00469,slash,274.0,SNGO ROGO,ANRO ANCA,SRGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser anser,Graylag Goose,gragoo,species,275.0,,ANAN,GRGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser anser anser,Graylag Goose (European),gragoo2,issf,276.0,GRGO,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gragoo,,,anatid1
Anser anser rubrirostris,Graylag Goose (Siberian),gragoo3,issf,277.0,GRGO,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gragoo,,,anatid1
Anser anser (Domestic type),Graylag Goose (Domestic type),gragoo1,domestic,278.0,GRGO,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gragoo,,,anatid1
Anser indicus x anser,Bar-headed x Graylag Goose (hybrid),x00992,hybrid,279.0,BHGO GRGO,ANAN ANIN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser canagicus x anser,Emperor x Graylag Goose (hybrid),x01119,hybrid,280.0,EMGO GRGO,ANAN ANCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser cygnoides,Swan Goose,swagoo1,species,281.0,SWGO,ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser cygnoides (Domestic type),Swan Goose (Domestic type),swagoo2,domestic,282.0,SWGO,ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,swagoo1,,,anatid1
Anser indicus x cygnoides,Bar-headed x Swan Goose (hybrid),x01143,hybrid,283.0,BHGO SWGO,ANIN ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens x cygnoides,Snow x Swan Goose (hybrid),x01144,hybrid,284.0,SNGO SWGO,ANCY ANCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser indicus x caerulescens x cygnoides,Bar-headed x Snow x Swan Goose (hybrid),x01142,hybrid,285.0,SNGO BHGO SWGO,ANIN ANCA ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser anser x cygnoides,Graylag x Swan Goose (hybrid),x00776,hybrid,286.0,GRGO SWGO,ANAN ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser albifrons,Greater White-fronted Goose,gwfgoo,species,287.0,,ANAL,GWFG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser albifrons flavirostris,Greater White-fronted Goose (Greenland),gwfgoo1,issf,288.0,GWFG,ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,,anatid1
Anser albifrons albifrons,Greater White-fronted Goose (Eurasian),gwfgoo4,issf,289.0,GWFG,ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,,anatid1
Anser albifrons gambelli/sponsa,Greater White-fronted Goose (Western),gwfgoo2,issf,290.0,GWFG,ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,,anatid1
Anser albifrons elgasi,Greater White-fronted Goose (Tule),gwfgoo3,issf,293.0,GWFG,ANAL,TWFG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,gwfgoo,,,anatid1
Anser indicus x albifrons,Bar-headed x Greater White-fronted Goose (hybrid),x00755,hybrid,294.0,GWFG BHGO,ANIN ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser canagicus x albifrons,Emperor x Greater White-fronted Goose (hybrid),x00361,hybrid,295.0,EMGO GWFG,ANCA ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens x albifrons,Snow x Greater White-fronted Goose (hybrid),x00627,hybrid,296.0,GWFG SNGO,ANCA ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser rossii x albifrons,Ross's x Greater White-fronted Goose (hybrid),x00362,hybrid,297.0,GWFG ROGO,ANRO ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser anser x albifrons,Graylag x Greater White-fronted Goose (hybrid),x01145,hybrid,298.0,GWFG GRGO,ANAN ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser erythropus,Lesser White-fronted Goose,lwfgoo,species,299.0,,ANER,LWFG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser albifrons/erythropus,Greater/Lesser White-fronted Goose,y00707,slash,300.0,GWFG LWFG,ANER ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser fabalis,Taiga Bean-Goose,taibeg1,species,301.0,BEGO TBGO,ANFA,TABG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser fabalis fabalis/johanseni,Taiga Bean-Goose (Western),taibeg5,issf,302.0,BEGO TBGO TABG,ANFA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,taibeg1,,,anatid1
Anser fabalis middendorffii,Taiga Bean-Goose (Eastern),taibeg4,issf,305.0,BEGO TABG TBGO,ANFA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,taibeg1,,,anatid1
Anser serrirostris,Tundra Bean-Goose,tunbeg1,species,306.0,BEGO TBGO,ANSE,TUBG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser albifrons x serrirostris,Greater White-fronted Goose x Tundra Bean-Goose (hybrid),x01089,hybrid,309.0,GWFG TUBG TBGO BEGO,ANSE ANAL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser fabalis/serrirostris,Taiga/Tundra Bean-Goose,y00468,slash,310.0,TBGO TUBG BEGO TABG,ANSE ANFA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser brachyrhynchus,Pink-footed Goose,pifgoo,species,311.0,,ANBR,PFGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser sp. (Domestic type),Domestic goose sp. (Domestic type),domgoo1,domestic,312.0,DGSP,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser sp.,Anser sp.,anser1,spuh,313.0,,,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta bernicla,Brant,brant,species,314.0,BRGO,BRBE,BRAN,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta bernicla bernicla,Brant (Dark-bellied),dabbra1,issf,315.0,BRAN BRGO,BRBE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,,anatid1
Branta bernicla hrota,Brant (Pale-bellied),atlbra1,issf,316.0,BRAN BRGO,BRBE,ATBR,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,brant,,,anatid1
